Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
85402 96161.54 46.89 0.09 0.18 0.10 4.00 55.00 10.65
85559 96126.70 46.89 0.08 0.16 0.06 3.01 27.12 16.73
85715 96075.29 46.89 0.12 0.12 0.07 4.88 42.67 11.65
85872 96044.08 46.89 0.05 0.11 0.03 -0.49 44.41 21.61
86028 96014.37 46.89 0.10 0.09 0.05 17.98 41.05 19.05
86184 95976.41 46.89 0.07 0.08 0.03 15.97 60.94 0.80
86340 95948.29 46.89 0.08 0.07 -0.01 2.50 56.25 21.97
86496 95927.28 46.89 0.07 0.03 0.03 -2.66 39.73 19.03
86652 95894.49 46.89 0.09 0.02 0.03 22.86 28.96 13.59
86809 95875.53 46.89 0.08 0.01 0.01 35.74 27.05 8.54
86967 95860.05 46.88 0.07 0.01 -0.00 33.46 25.45 4.01
87124 95832.50 46.89 0.07 -0.01 -0.00 22.93 22.31 7.70
